"Read Details","Pročitajte detalje",module,Magento_AdminNotification
"Are you sure?","Jeste li sigurni?",module,Magento_AdminNotification
Remove,Ukloni,module,Magento_AdminNotification
"Incoming Message","Dolazna poruka",module,Magento_AdminNotification
close,zatvori,module,Magento_AdminNotification
Notifications,Obavijesti,module,Magento_AdminNotification
"The message has been marked as Read.","Poruka je označena kao pročitana.",module,Magento_AdminNotification
"Please select messages.","Odaberite poruke.",module,Magento_AdminNotification
"1 Hour","1 sat",module,Magento_AdminNotification
"2 Hours","2 sata",module,Magento_AdminNotification
"6 Hours","6 sati",module,Magento_AdminNotification
"12 Hours","12 sati",module,Magento_AdminNotification
"24 Hours","24 sata",module,Magento_AdminNotification
notice,obavijest,module,Magento_AdminNotification
Close,Zatvori,module,Magento_AdminNotification
"We can't process your order right now. Please try again later.","Trenutno ne možemo obraditi vašu narudžbu. Pokušajte ponovo kasnije.",module,Magento_Authorizenet
Product,Proizvod,module,Magento_Backend
Price,Cijena,module,Magento_Backend
Quantity,Količina,module,Magento_Backend
"User Name","Korisničko ime",module,Magento_Backend
"New Password","Nova lozinka",module,Magento_Backend
"Password Confirmation","Potvrda lozinke",module,Magento_Backend
Refresh,Osvježi,module,Magento_Backend
Back,Natrag,module,Magento_Backend
Delete,Obriši,module,Magento_Backend
"Are you sure?","Jeste li sigurni?",module,Magento_Backend
Save,Spremi,module,Magento_Backend
Cancel,Poništi,module,Magento_Backend
Yes,Da,module,Magento_Backend
No,Ne,module,Magento_Backend
Name,Naziv,module,Magento_Backend
From,Od,module,Magento_Backend
To,Do,module,Magento_Backend
Submit,Potvrdi,module,Magento_Backend
Dashboard,"Upravljačka ploča",module,Magento_Backend
Close,Zatvori,module,Magento_Backend
Delete,Obriši,module,Magento_Braintree
Close,Zatvori,module,Magento_Bundle
Product,Proizvod,module,Magento_Bundle
Price,Cijena,module,Magento_Bundle
Delete,Obriši,module,Magento_Bundle
Name,Naziv,module,Magento_Bundle
From,Od,module,Magento_Bundle
To,Do,module,Magento_Bundle
Quantity,Količina,module,Magento_Bundle
Quantity,Količina,module,Magento_CatalogInventory
Qty,Kol,module,Magento_CatalogInventory
All,Sve,module,Magento_CatalogSearch
Yes,Da,module,Magento_CatalogSearch
No,Ne,module,Magento_CatalogSearch
Product,Proizvod,module,Magento_CatalogSearch
"Add to Cart","Stavi u košaricu",module,Magento_CatalogWidget
Delete,Obriši,module,Magento_Catalog
Save,Spremi,module,Magento_Catalog
Name,Naziv,module,Magento_Catalog
Price,Cijena,module,Magento_Catalog
Cancel,Poništi,module,Magento_Catalog
No,Ne,module,Magento_Catalog
Yes,Da,module,Magento_Catalog
Back,Natrag,module,Magento_Catalog
Quantity,Količina,module,Magento_Catalog
Edit,Uredi,module,Magento_Catalog
"Are you sure?","Jeste li sigurni?",module,Magento_Catalog
Product,Proizvod,module,Magento_Catalog
Products,Proizvodi,module,Magento_Catalog
All,Sve,module,Magento_Catalog
To,Do,module,Magento_Catalog
Qty,Kol,module,Magento_Catalog
"Edit Terms and Conditions","Uredi Opće uvjete",module,Magento_CheckoutAgreements
Back,Natrag,module,Magento_Cms
"Are you sure you want to do this?","Jeste li sigurni da želite ovo?",module,Magento_Cms
Edit,Uredi,module,Magento_Cms
Delete,Obriši,module,Magento_Cms
No,Ne,module,Magento_Config
Yes,Da,module,Magento_Config
Delete,Obriši,module,Magento_Config
Name,Naziv,module,Magento_ConfigurableProduct
Price,Cijena,module,Magento_ConfigurableProduct
Quantity,Količina,module,Magento_ConfigurableProduct
Cancel,Poništi,module,Magento_ConfigurableProduct
Monthly,Mjesečno,module,Magento_Cron
Import,Uvoz,module,Magento_CurrencySymbol
"Manage Currency Rates","Upravljanje tečajima valuta",module,Magento_CurrencySymbol
"Sign In",Prijava,module,Magento_Customer
"Create Order","Kreiraj narudžbu",module,Magento_Customer
Back,Natrag,module,Magento_Customer
"Please select","Molimo odaberite",module,Magento_Customer
Product,Proizvod,module,Magento_Customer
Quantity,Količina,module,Magento_Customer
Price,Cijena,module,Magento_Customer
Configure,Konfiguriraj,module,Magento_Customer
Delete,Obriši,module,Magento_Customer
Cancel,Poništi,module,Magento_Customer
Qty,Kol,module,Magento_Customer
No,Ne,module,Magento_Customer
Yes,Da,module,Magento_Customer
Edit,Uredi,module,Magento_Customer
"New Password","Nova lozinka",module,Magento_Customer
Save,Spremi,module,Magento_Customer
Name,Naziv,module,Magento_Customer
"--Please Select--","--Molimo vas odaberite---",module,Magento_Directory
Yes,Da,module,Magento_Downloadable
No,Ne,module,Magento_Downloadable
Price,Cijena,module,Magento_Downloadable
File,Datoteka,module,Magento_Downloadable
Delete,Obriši,module,Magento_Downloadable
Back,Natrag,module,Magento_Downloadable
Qty,Kol,module,Magento_Downloadable
Yes,Da,module,Magento_Eav
No,Ne,module,Magento_Eav
Back,Natrag,module,Magento_Email
From,Od,module,Magento_ImportExport
To,Do,module,Magento_ImportExport
Delete,Obriši,module,Magento_ImportExport
Save,Spremi,module,Magento_Integration
"Save & Activate","Spremi i aktiviraj",module,Magento_Integration
Name,Naziv,module,Magento_Integration
Remove,Ukloni,module,Magento_Integration
Edit,Uredi,module,Magento_Integration
Custom,Prilagođeno,module,Magento_Integration
All,Sve,module,Magento_Integration
Year,Godina,module,Magento_Payment
Discount,Popust,module,Magento_Payment
Yes,Da,module,Magento_Payment
No,Ne,module,Magento_Payment
"Last Name",Prezime,module,Magento_Paypal
Back,Natrag,module,Magento_Paypal
Cancel,Poništi,module,Magento_Paypal
Configure,Konfiguriraj,module,Magento_Paypal
Close,Zatvori,module,Magento_Paypal
Yes,Da,module,Magento_Paypal
No,Ne,module,Magento_Paypal
Custom,Prilagođeno,module,Magento_Paypal
Edit,Uredi,module,Magento_Paypal
Price,Cijena,module,Magento_Paypal
Qty,Kol,module,Magento_Paypal
Product,Proizvod,module,Magento_Review
Edit,Uredi,module,Magento_Review
Delete,Obriši,module,Magento_Review
"Are you sure?","Jeste li sigurni?",module,Magento_Review
Name,Naziv,module,Magento_Review
Price,Cijena,module,Magento_Review
Quantity,Količina,module,Magento_Review
Back,Natrag,module,Magento_Review
All,Sve,module,Magento_Sitemap
Back,Natrag,module,Magento_Tax
Name,Naziv,module,Magento_Tax
Save,Spremi,module,Magento_Tax
Cancel,Poništi,module,Magento_Ui
Back,Natrag,module,Magento_Ui
Back,Natrag,module,Magento_User
"User Name","Korisničko ime",module,Magento_User
"New Password","Nova lozinka",module,Magento_User
"Password Confirmation","Potvrda lozinke",module,Magento_User
Custom,Prilagođeno,module,Magento_User
All,Sve,module,Magento_User
Remove,Ukloni,theme,frontend/Magento/luma
"Remove This Item","Ukloni ovu stavku",theme,frontend/Magento/luma
Submit,Potvrdi,module,Magento_Catalog
Close,Zatvori,module,Magento_Ui
Delete,Obriši,module,Magento_Backup
Name,Naziv,module,Magento_Backup
From,Od,module,Magento_Cms
To,Do,module,Magento_Cms
"Full Page Cache","Predmemorija cijele stranice",module,Magento_PageCache
